genes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
eca-miR-30e,0,9971.03,4904.1,643.54,2948.4,5164.05,3906.99,2924.69,4172.01,3402.32,1119.36,1232.5,3379.52,2663.71,4872.11,10933.78,2163.13,16619.71,10770.87,0,1562.63,1876.12,718.76,5114.9,7520.64,20267.16,3034.34,0,3077.66,7414.05,1439.48,2655.84,4137.68,3251.33,2034.22,6055.69,5194.16,2855.4,2962.65,1885.38,4762.69,0,47.33,2500,0,3485.29,7816.67,4899.55,5954.64,3011.92,0,11987.66
eca-miR-31,1739.54,167.11,210.41,5811.97,9066.34,16493.79,923.47,2981.3,4137.81,3590.03,248.75,176.07,9410.66,221.98,9396.21,8288.51,2361.58,40.83,267.05,7105.29,2371.85,0,0,14869.75,49.15,22800.55,2981.1,15.3,1765.48,5052.89,0,2127.45,3569.32,2081.54,7649.22,12.49,6554.54,967.4,41.73,35.57,5587.4,0,0,10312.5,2437.04,2788.23,3966.32,4899.55,13085.03,9207.87,5597.29,5837.47
eca-miR-323-3p,0,0,0,0,0,0,0,0,0,0,82.92,2949.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-324-5p,287.15,0,1537.59,0,0,0,0,2188.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.86,0,0,0,0,0,0,0,0,764.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-328,0,2339.57,16.19,0,0,0,0,0,0,0,0,0,1871.73,0,0,0,19.85,0,0,0,0,0,0,0,1523.79,0,0,0,0,0,0,389.34,0,0,0,0,3256.66,0,0,0,0,49.5,0,0,0,0,0,1122.24,2503.22,0,0,5733.23
eca-miR-330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-337-5p,0,0,0,0,2751.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-338-3p,0,0,0,0,0,0,0,0,1248.18,0,0,0,0,0,0,0,2242.51,0,6142.07,0,0,0,0,0,0,0,0,0,0,5430.68,0,723.06,22.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.37,0
eca-miR-338-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600.8,0,0,0,0,0,0,0,0,37.93,0,0,0
eca-miR-33a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11392.87,0,0,0,0,0,0,0,0,0,0,0,0,16.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-340-3p,0,0,16.19,0,0,0,0,0,0,0,0,0,0,0,0,2733.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-340-5p,778.21,1726.83,1149.15,2775.26,0,0,1468.08,2905.82,615.54,2698.39,0,1452.59,0,0,0,4232.43,0,0,0,40.14,1367.3,0,2895.02,0,0,0,0,0,0,0,129.39,2224.79,4796.98,0,0,0,2267.29,335.47,0,0,597.91,0,47.33,0,0,0,1414.89,0,0,21.51,16.37,20.85
eca-miR-342-3p,20079.57,0,32.37,0,3538.08,3294.31,0,4000.23,0,0,0,0,26,0,87,0,7164.12,40.83,0,10035.73,9961.77,29.47,3693.65,36.54,0,6448.64,13.31,2050,0,47.22,744,3656.99,4160.41,17.2,0,3483.58,10264.65,7.8,0,0,0,0,4117.76,62.5,0,9689.11,23.19,0,0,6583.19,3878.82,5128.63
eca-miR-342-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.17,0,954.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-34a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2689.57,0,0,0,0,6193.47,0,0,0,1097.46,0,0,0,0,0,2995.6,0,0,0,0,0,20.62,0,0,0,0,0,0,0,0,0,0,0
eca-miR-34b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5658.42,0,0,0,0,0,0,0
eca-miR-34c,0,0,16.19,0,0,22.26,23.68,0,0,0,0,0,0,73.99,0,0,0,0,0,0,0,0,0,2959.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9513.87,0,0,0,0,0,0,0,0,0,3830.69,0,0,0
eca-miR-361-3p,0,1336.9,0,0,0,0,0,0,17.1,0,0,0,0,0,0,0,0,6860.22,0,0,0,0,0,0,0,0,532.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1566.95,0,0,0,0,0,0,0,0,0,16.37,0
eca-miR-361-5p,986.29,0,0,0,0,3049.46,0,2679.4,0,0,0,1496.61,0,0,0,0,0,0,0,0,0,0,1237.87,0,0,0,0,0,0,0,0,0,0,0,2521.87,0,0,0,0,1636.37,0,0,0,2125,0,0,0,0,0,0,0,0
eca-miR-362-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,73.99,0,0,0,0,0,0,0,0,19.97,0,0,0,0,0,0,0,0,0,3569.32,0,0,0,0,0,0,0,0,0,0,7437.5,0,0,23.19,0,0,0,0,0
eca-miR-363,4294.74,0,3075.18,0,0,0,0,622.68,17.1,12576.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.31,13.31,0,0,0,0,0,0,0,0,561.87,0,0,0,0,0,0,0,62.5,0,0,0,0,0,43.03,0,0
eca-miR-365,395.35,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.45,0,0,0,0,2285.01,911.47,0,0,0,1849.81,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-369-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.54,0,0,0,0,0,0,0,0,0,0,3037.4,0,0,0,0,0,0,0,0,2187.5,0,0,23.19,0,0,0,0,0
eca-miR-369-5p,0,0,323.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2515.36,0,0,0,0,0,0,0,0,0,0,0
eca-miR-370,0,0,0,1528.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5052.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-374a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655.34,0,1422.93,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-376a,0,55.7,16.19,0,0,0,23.68,0,0,0,0,0,0,73.99,0,0,0,0,2536.94,9995.58,0,0,0,36.54,0,0,0,0,0,2361.16,776.35,0,0,0,0,0,0,7.8,0,0,0,0,47.33,0,0,0,0,0,0,0,0,0
eca-miR-376c,0,0,32.37,3499.25,0,0,0,0,0,0,41.46,88.04,3691.48,0,0,0,0,0,534.09,0,0,0,0,0,0,0,13.31,0,0,0,0,0,3637.52,0,3246.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-377,0,0,0,0,3341.52,22.26,0,0,0,0,0,0,26,0,0,0,0,0,0,40.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6720.94,0,0,0,0,0,37.93,0,0,0
eca-miR-378,2892.29,4177.81,4531.84,0,3759.21,3071.72,1539.12,3302.07,547.15,0,6384.48,1628.66,1169.83,7695.15,87,5466.89,5556.66,0,0,12805.59,7059.74,9.82,0,8585.73,3342.51,0,53.23,229.48,0,8972.42,0,4727.67,0,1668.67,0,849.04,700.8,413.49,7344.04,2027.68,2350.42,8216.19,0,4937.5,2829.21,3345.88,1693.22,1560.19,0,3227.06,0,10382.35
eca-miR-379,0,0,0,0,0,0,0,0,0,0,0,0,0,73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-380,474.42,0,0,0,3169.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-381,0,0,0,0,0,0,23.68,0,0,0,0,0,0,0,0,0,0,0,979.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-382,0,55.7,16.19,0,0,0,23.68,0,0,0,0,2993.22,0,0,0,0,0,0,0,0,2860.17,0,0,0,0,0,0,0,0,0,0,0,2455.33,0,2995.6,0,0,569.52,8303.78,0,0,0,0,0,0,0,0,0,0,3442.19,0,0
eca-miR-409-3p,420.32,0,0,0,0,5431.15,0,0,0,4763.25,0,0,0,0,3045.07,88.18,0,0,0,0,4367,0,0,0,0,0,0,15.3,0,0,0,0,0,0,0,0,0,0,0,0,6082.22,0,0,0,0,0,0,0,0,0,0,0
eca-miR-410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709.15,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0
eca-miR-411,0,0,16.19,0,0,0,0,0,0,0,0,44.02,0,0,0,0,0,0,0,0,0,0,0,36.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3877.49,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-423-3p,31823.52,55.7,5227.81,2292.61,9090.91,9237.41,3291.34,11604.43,7232.62,29236.47,3192.24,88.04,5537.21,4143.54,8874.2,8553.04,10478.27,14986.32,6142.07,25089.32,23411.56,5539.95,5650.28,36.54,8257.96,230.31,4897.52,45.9,143.15,377.79,6469.56,4115.86,1318.6,11250.65,2953.8,5418.9,5317.83,2005.02,13227.62,1992.1,1422.62,0,36018.55,187.5,84.04,5925,3340.06,6925.06,75.86,10928.96,7643.08,21682.02
eca-miR-423-5p,21007.6,13480.39,9322.65,12026.14,4471.74,1647.15,6393.26,11264.79,14841.41,281.57,14095.6,6206.53,8604.78,11024.79,87,4144.26,16927.96,0,9480.15,5780.58,8692.13,5569.42,9643.41,10156.74,16270.15,2303.09,11152.52,10923.11,8684.24,5194.56,5644.69,6716.08,4683.31,15895.41,7077.97,9514.3,9027.95,11054.94,23325.68,8608.73,8721.29,98.99,5253.69,7562.5,9271.97,20075.28,8373.34,9689.6,8154.44,38315.91,38804.6,14531.13
eca-miR-424,0,0,0,0,0,0,0,0,0,0,0,88.04,0,0,0,0,0,0,0,0,0,0,0,36.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-425,432.8,0,0,0,0,0,0,0,0,0,0,0,2261.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-433,0,0,0,0,1007.37,0,0,0,0,0,0,0,0,0,6786.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-448,0,0,0,0,0,0,0,1434.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-449a,0,0,0,0,1867.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-450b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1309.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-451,89003.47,8355.61,8998.95,4585.22,35307.13,43493.75,6132.79,34228.35,3539.37,19921.16,16085.57,5898.41,13258.12,41731.41,9657.21,88.18,18535.42,8656.95,45753.96,13287.3,37782.18,2298.49,7646.85,5334.11,9191.9,45370.8,3367.05,31973.81,6823.33,17850.4,25053.37,13126.24,5047.06,8446.59,5197.01,7067.05,28526.67,655.34,29167.54,6652.2,7525.46,42763.81,10318.06,9187.5,24118.32,0,6610.54,10291.78,151.71,30958.22,52699.63,27039.99
eca-miR-454,0,0,0,0,0,0,0,0,2855.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-485-3p,0,0,16.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-486-3p,0,0,0,0,0,0,1160.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6448.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.5,0,0,0,0,0,0,0,0,0,3294
eca-miR-486-5p,43184.6,32475.49,78708.42,91141.28,61203.93,48769.09,119695.97,47568.73,19543.47,41766.39,86729.41,103662.29,64938.78,147909.73,77953.71,78299.97,18436.2,146106.42,130318.68,31030.47,61347.21,32768.21,8824.82,135362.24,54315.77,67480.42,74873.57,78037.51,52868.9,92510.39,36730.93,26057.82,98144.86,43540.34,102964.94,59520.54,32813.92,29388.82,36636.76,121375.97,126056.66,1336.37,40183.64,43000,16975.27,30740.28,26743.67,24169.27,79989.38,48362.81,77674.67,21911.35
eca-miR-487b,0,0,0,0,0,22.26,3551.81,18.87,0,0,41.46,0,26,0,3219.07,88.18,0,0,0,0,0,0,0,5553.32,0,230.31,998.14,0,0,4486.21,0,0,3251.03,0,0,0,0,1256.07,7385.77,0,0,49.5,0,0,0,0,0,0,0,0,0,0
eca-miR-489,994.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.82,0,0,0,0,0,0,0,0,0,3086.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-494,0,0,0,0,0,0,0,18.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3671.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3649.69,0
eca-miR-497,0,1392.6,1213.89,0,0,0,1515.44,1094.4,1983.41,0,0,0,0,147.98,0,0,0,0,6142.07,0,0,2092.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3713.75,0,0,0,0,0,0,0,1809.2,1040.13,0,0,0,0
eca-miR-501-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-502-3p,749.08,0,0,0,0,0,0,0,0,0,0,0,0,0,3567.08,0,0,0,0,0,0,0,0,0,0,0,0,1483.95,0,0,0,1432.21,0,0,0,0,0,0,0,0,1113.36,16234.41,0,0,0,0,0,0,0,0,0,0
eca-miR-502-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958.01,0,0,0,0
eca-miR-505,1531.46,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,81.67,0,0,1004.55,0,0,0,5407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6170.11,20.85
eca-miR-532-5p,586.78,0,0,0,0,0,0,1113.27,0,0,41.46,0,0,0,0,0,7382.42,0,0,0,2469.51,0,1118.08,2740.13,0,17042.84,3872.77,0,0,0,0,917.72,0,3681.4,0,2047.7,0,756.76,0,6083.03,3051.42,49.5,0,62.5,3053.31,0,904.6,1395.96,0,0,0,6400.37
eca-miR-542-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465.32,0,0,0,0
eca-miR-543,0,0,16.19,0,0,0,23.68,0,0,0,0,0,0,0,0,0,0,0,44.51,0,0,0,0,109.61,0,0,0,0,0,0,16.17,0,0,0,1839.16,0,0,7.8,0,0,2391.65,0,0,0,0,0,0,0,0,0,0,0
eca-miR-590-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1540.66,0,0,0,0,0,0,0
eca-miR-592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2063.25,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-598,0,0,3026.62,0,0,0,23.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-615-3p,0,55.7,16.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-628a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671.94,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-652,262.18,0,2800.03,0,3046.68,22.26,0,0,0,0,0,0,0,0,0,0,2659.26,0,0,7386.3,0,0,0,0,49.15,0,0,0,0,0,2280.52,1209.73,0,0,0,0,0,0,0,0,0,0,0,1062.5,0,0,0,0,0,0,0,0
eca-miR-660,4.16,0,0,0,0,0,0,0,1726.94,0,0,0,0,0,3393.07,88.18,0,0,0,0,0,0,0,0,5603.62,0,1663.56,0,1097.46,0,1116,876.01,22.73,0,0,0,2514.63,1084.43,0,35.57,0,0,0,6375,0,0,2806.58,2217.11,37.93,0,0,4899.3
eca-miR-671-3p,0,0,0,0,0,0,0,0,940.41,23.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771.89,0,1822.95,0,748.96,0,0,0,0,0,0,0,0,0,0,37.93,21.51,0,0
eca-miR-676,0,0,0,0,24.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1919.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-708,0,0,0,0,0,0,0,0,0,0,41.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-7177b,0,0,0,0,0,0,0,867.97,0,0,1616.85,1100.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-744,582.62,0,631.22,1809.95,909.09,0,1752.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.65,19.97,0,49.15,0,0,0,0,0,760.17,597.91,0,0,0,2322.39,0,1560.33,0,0,1546.33,0,9040.14,1875,0,0,1762.81,793.78,0,5442.97,0,0
eca-miR-769a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.95,0,0,0,0,0,0,0,0,0,0,862.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-889,0,111.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-8917,0,0,0,0,0,0,0,0,1265.28,0,2777.66,0,0,0,0,0,0,0,0,0,0,2406.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-8923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.19,0,0,0,0,0
eca-miR-8934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-8993,0,0,2735.29,0,0,0,3622.85,0,0,0,0,3785.54,0,27746.95,0,0,0,0,0,31110.75,0,0,0,0,0,5757.72,452.49,0,0,2266.72,0,0,3364.71,0,3636.52,0,0,0,0,0,0,0,0,0,0,0,0,0,3185.92,0,0,0
eca-miR-9021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,1395.21,0,0,0,0,0,825.13,0,0,0,0,0,0,2821.26,0,0,0,0,0,0,0,0,0,0,0,0,0,930.64,0,0,0,0
eca-miR-9055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.86,0,0,0,0,0,0,1048.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-9094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.17,0,0,0,1490.83,0,0,0,0,0,20.62,0,0,0,0,0,0,0,0,0,0,0
eca-miR-9097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-9104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.17,0,0,0,0,724.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-9138,0,0,0,0,0,0,0,37.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-9141,0,0,0,1568.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-92a,152916.84,35260.7,25103.18,19708.4,59852.58,35257.98,16575.11,50210.39,13131.57,64198.23,17660.96,21172.64,29609.8,33740.29,38541.85,39149.99,43103.79,43611.42,31555.99,36409.62,79163.99,12622.05,12678.19,28131.96,49351.16,46752.65,20495.08,38521.56,22664.92,37164.71,23015.46,38933.77,35488.56,20213.31,31168.14,6193.03,20694.2,16399.07,41477.15,29241.22,22040.33,54890.12,37817.11,16500,44539.06,53952.32,4314.24,14972.35,5840.86,37218.71,62797.66,32168.62
eca-miR-92b,12214.2,0,16.19,0,12923.83,0,23.68,3037.91,1333.68,4763.25,0,0,6135.13,0,5481.12,0,0,122.5,0,0,11594.16,0,4292.62,2886.27,4423.91,230.31,1557.09,1835.82,0,5147.34,2717.22,5840.07,4024.01,3096.51,1783.43,886.5,0,1326.28,4423.12,1778.66,20.62,98.99,0,1000,4397.88,0,2203.51,4926.92,0,3721.87,0,3815.2
eca-miR-93,2076.62,612.75,16.19,744.09,5257.99,378.4,1823.26,0,17.1,0,0,0,0,0,957.02,0,0,0,0,3612.86,0,3467.38,1417.56,0,2113.65,230.31,13.31,0,3363.95,0,16.17,723.06,0,1754.69,0,87.4,2308.52,678.74,0,0,0,0,0,2062.5,0,0,0,0,0,0,16.37,0
eca-miR-98,428.64,1671.12,1424.29,0,1621.62,0,1302.33,2018.98,0,2487.21,1575.39,1320.54,2235.68,0,3567.08,0,0,0,44.51,0,0,9.82,3114.64,1863.29,0,0,53.23,948.51,1169.03,0,1746.78,876.01,2023.37,1427.83,390.12,2147.58,1319.15,46.81,0,2525.7,1195.83,0,1419.92,2250,0,2509.41,1925.17,1259.1,0,0,0,0
eca-miR-99a,26425.96,1002.67,9872.95,15364.5,13415.23,15625.7,15320.14,23491.9,5710.87,21211.69,5555.33,9683.95,24462.53,1109.88,3393.07,1058.11,2421.12,0,17090.97,7346.15,21193.18,9616.33,2795.19,16331.15,8012.19,230.31,18485.49,8964.91,13455.8,9869.66,13100.86,10386.97,19324.33,68.81,16190.16,1972.78,8863.06,9564.82,16774.46,1992.1,3752.42,18115.22,8424.84,18500,28.01,8364.7,719.04,10100.18,13312.6,24998.92,11194.58,10278.11
eca-miR-99b,724.11,13591.8,6150.36,7159.38,0,9437.74,9945.07,5075.76,9746.09,19968.09,6550.31,4841.98,0,9174.99,0,11286.48,2143.28,4818.49,1335.23,3211.43,1953.29,4901.48,5290.9,3105.48,6046.01,0,10327.39,9852.22,7706.07,6233.47,2781.91,4741.58,16391.58,14003.1,4082.37,7716.32,5276.61,7442.77,41.73,6972.36,2247.33,0,4259.75,0,56.02,24397.04,3316.86,9990.69,4361.68,6841.36,49.1,8339.24
eca-miR-9a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1936.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2437.04,0,0,0,0,0,0,0
